Message,SystemTOV,GPSTOV,TimeSinceLastMsg,"LinearAccelerationX(m/s^2)","LinearAccelerationY(m/s^2)","LinearAccelerationZ(m/s^2)","AngularRateX(rad/s)","AngularRateY(rad/s)","AngularRateZ(rad/s)"
0x2311,2115.9673374781,199291.76078968,0.00999999999976353,-9.815954,-0.008468144,-0.04738662,9.23872E-05,-0.0006128568,-0.0001645065
0x2311,2115.9773374781,199291.77078968,0.0100000000002183,-9.822866,0.004353188,-0.0391243,7.712515E-05,-0.000422122,0.0002417597
0x2311,2115.9873374781,199291.78078968,0.00999999999976353,-9.820294,-0.004081056,-0.04406702,-0.0001031207,-0.0004706439,-0.000247953
0x2311,2115.9873374781,199291.78078968,0,-9.820294,-0.004081056,-0.04406702,-0.0001031207,-0.0004706439,-0.000247953
0x2311,2115.9873374781,199291.78078968,0,-9.820294,-0.004081056,-0.04406702,-0.0001031207,-0.0004706439,-0.000247953
0x2311,2115.9873374781,199291.78078968,0,-9.820294,-0.004081056,-0.04406702,-0.0001031207,-0.0004706439,-0.000247953
0x2311,2115.9873374781,199291.78078968,0,-9.820294,-0.004081056,-0.04406702,-0.0001031207,-0.0004706439,-0.000247953
0x2311,2115.9973374781,199291.79078968,0.0100000000002183,-9.810344,-0.01731645,-0.04998185,5.769543E-05,0.000171666,0.0001200475
0x2311,2116.0073374781,199291.80078968,0.00999999999976353,-9.814369,-0.01267251,-0.04481245,5.42379E-05,-0.0002498622,-9.01171E-05
0x2311,2116.0173374781,199291.81078968,0.0100000000002183,-9.814164,0.003007986,-0.03683958,0.0002274523,0.0003427267,-0.0003062538
0x2311,2116.0273374781,199291.82078968,0.0100000000002183,-9.8049,-0.0005813316,-0.04496928,6.711343E-05,-0.0004879199,-0.0005292939
0x2311,2116.0373374781,199291.83078968,0.00999999999976353,-9.807136,-0.01186673,-0.04722849,0.0001816778,5.245674E-05,-3.635651E-05
0x2311,2116.0473374781,199291.84078968,0.0100000000002183,-9.811477,-0.01015514,-0.04671104,0.0001076492,-0.0001826324,-0.0001359032
0x2311,2116.0573374781,199291.85078968,0.00999999999976353,-9.827487,-0.003799796,-0.03891736,0.0001025153,0.0001310138,-0.0003119698
0x2311,2116.0673374781,199291.86078968,0.0100000000002183,-9.817472,-0.00477992,-0.0381954,0.0001443666,-8.11764E-05,-0.0001597451
0x2311,2116.0773374781,199291.87078968,0.00999999999976353,-9.809852,-0.01378749,-0.03968831,0.0002460438,0.0001721433,0.0001724926
0x2311,2116.0873374781,199291.88078968,0.0100000000002183,-9.821033,-0.0180129,-0.04719011,0.0003732392,0.0002702465,0.0001511537
0x2311,2116.0973374781,199291.89078968,0.00999999999976353,-9.809011,-0.002725422,-0.03205612,-0.0001153909,7.379567E-05,-0.0003281864
0x2311,2116.1073374781,199291.90078968,0.0100000000002183,-9.814462,0.001896359,-0.04282538,-0.0002026558,0.0002697692,-0.0005127164
0x2311,2116.1173374781,199291.91078968,0.00999999999976353,-9.804918,-0.004962459,-0.03982428,0.0001562876,0.000118732,0.000280852
0x2311,2116.1273374781,199291.92078968,0.0100000000002183,-9.809553,-0.0186082,-0.0544386,-5.250331E-06,0.000360969,-9.834766E-05
0x2311,2116.1373374781,199291.93078968,0.00999999999976353,-9.807081,-0.01094583,-0.05170386,-0.0001560431,1.478475E-05,-3.7672E-05
0x2311,2116.1473374781,199291.94078968,0.0100000000002183,-9.81594,-0.002594106,-0.04124399,0.0001463923,0.0002735876,-8.499483E-05
0x2311,2116.1573374781,199291.95078968,0.00999999999976353,-9.803883,-0.003738143,-0.05141087,3.660098E-05,-0.0003048219,-7.104827E-05
0x2311,2116.1573374781,199291.95078968,0,-9.803883,-0.003738143,-0.05141087,3.660098E-05,-0.0003048219,-7.104827E-05
0x2311,2116.1573374781,199291.95078968,0,-9.803883,-0.003738143,-0.05141087,3.660098E-05,-0.0003048219,-7.104827E-05
0x2311,2116.1573374781,199291.95078968,0,-9.803883,-0.003738143,-0.05141087,3.660098E-05,-0.0003048219,-7.104827E-05
0x2311,2116.1573374781,199291.95078968,0,-9.803883,-0.003738143,-0.05141087,3.660098E-05,-0.0003048219,-7.104827E-05
